"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default_payment_next_month"
50000,1,2,1,51,0,0,0,0,0,0,3359,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1
60000,1,3,1,55,3,2,2,0,0,0,60511,61450,57244,28853,29510,26547,2505,7,1200,1200,1100,1500,0
30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5640,3508,27,13771,5911,3024,0
240000,1,1,2,41,1,-1,-1,0,0,-1,88,2622,3301,3164,360,1737,2627,3301,0,360,1737,924,0
410000,1,2,1,34,0,0,0,0,0,0,253072,247743,229049,220951,210606,188108,9734,9553,7603,7830,7253,11326,0
320000,1,3,1,46,0,0,0,0,0,0,227346,228719,229644,227587,227775,228203,8214,8095,8025,8175,8391,8200,0
30000,2,2,2,22,0,0,0,0,0,0,28484,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0
2e+05,2,2,1,33,0,0,0,0,0,0,7181,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0
50000,2,3,1,51,-1,-1,-1,-1,-2,-2,750,300,5880,0,0,0,299,5880,0,0,0,0,1
50000,1,1,2,24,0,0,0,0,0,0,50791,50143,49586,19430,19375,18995,2357,1700,1000,900,870,2130,0
240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1835,0,832,332,416,416,0,416,332,500,3500,832,0
20000,1,1,2,29,-1,-1,-1,-1,0,-1,1196,15586,344,2340,6702,339,15510,344,2340,4702,339,330,0
170000,2,2,2,27,0,0,0,0,0,0,19267,20313,20852,17560,17918,9100,1660,1200,351,358,182,0,1
2e+05,1,1,2,34,1,2,0,0,0,0,197993,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0
70000,2,2,1,23,1,2,3,2,0,0,9183,10522,10205,9898,10123,12034,1647,0,0,379,2091,1,0
260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1213,-1100,21400,0,969,869,0,22500,0,969,1000,0,0
140000,1,2,1,32,0,0,0,0,2,0,86508,78142,68336,64648,58319,55251,3459,3110,5000,0,2100,2602,0
70000,1,1,2,25,0,0,0,0,0,0,42391,55744,43476,41087,41951,31826,29914,3000,6000,8000,2000,14000,0
350000,1,1,2,41,1,-1,-1,-1,-1,-2,207,2906,1000,630,0,0,2904,1000,630,0,0,0,0
280000,2,2,1,56,0,0,0,0,0,0,209164,182350,132257,101783,177145,169311,8049,6700,5137,100000,7000,6321,0
30000,2,3,2,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0
140000,1,1,1,34,0,0,0,0,0,0,23959,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0
2e+05,2,1,2,37,0,0,0,0,0,0,105476,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0
2e+05,2,3,2,30,0,0,0,0,0,0,196168,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,0
2e+05,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10451,10478,11078,11078,11678,10478,1
50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0
280000,1,3,1,47,-1,-1,-1,-1,0,-1,1232,396,396,792,396,423,396,396,792,0,423,369,0
240000,2,1,1,34,0,0,2,0,0,0,141346,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
60000,2,2,1,46,0,0,0,0,0,0,21173,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0
1e+05,2,1,2,27,0,0,0,0,0,0,101556,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0
90000,2,2,1,35,0,0,0,0,0,2,71988,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,0
260000,1,2,2,37,0,0,0,0,0,0,37672,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0
290000,2,1,2,30,-1,-1,-1,-1,-1,-1,685,3280,0,4340,2672,800,3280,0,4340,2672,800,746,0
50000,2,2,2,22,-1,0,0,0,0,0,8585,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,0
50000,2,1,2,24,1,-2,-2,-2,-2,-2,-727,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1
360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0
130000,1,3,1,56,1,2,2,2,2,3,64527,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,1
70000,1,1,2,30,-2,-1,0,0,0,0,6206,100,600,1438,1919,5380,505,500,1000,500,3500,0,0
50000,1,2,2,30,1,2,0,0,0,2,48888,47801,48363,30221,22877,22361,0,1500,1000,2000,0,2000,0
20000,2,2,2,22,0,0,0,0,0,0,16000,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0
70000,2,2,1,29,0,0,2,0,0,0,77962,81811,80250,61467,10662,11486,5800,1000,600,400,1000,0,0
240000,1,1,2,37,-1,-1,2,0,0,-1,12236,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,0
70000,2,3,2,35,0,-1,0,0,0,0,49583,12412,14873,17364,17770,17460,12421,6500,3000,2000,3000,2000,0
5e+05,2,1,1,47,0,0,0,0,0,0,56437,110616,110340,122967,108834,70064,70000,30357,30000,20000,52183,20000,0
1e+05,2,2,1,38,1,2,0,0,2,0,14480,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,1
360000,2,1,2,32,1,-1,-1,-1,-1,-1,2618,57077,5287,68445,13881,16240,55974,5295,68454,13889,16250,38313,0
2e+05,2,3,2,47,2,2,2,2,2,2,199891,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,6836,1
130000,2,2,1,34,1,-1,0,0,0,0,0,5396,10270,13576,13864,14636,5367,5000,3500,501,1000,2000,0
20000,2,2,2,31,1,5,4,4,3,2,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,0,0
180000,2,1,2,29,-1,-1,-1,-2,-1,0,11386,199,0,0,17227,17042,200,0,0,17227,341,5114,0
50000,1,2,1,36,0,0,0,0,-1,-1,47765,18114,18250,-14,72,658,2000,1000,2000,500,1000,20011,0
50000,2,1,2,24,1,2,2,2,2,2,36138,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,1
150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,116,0,1500,0,0,116,0,1500,0,0
20000,2,1,2,22,0,0,0,0,-1,0,18551,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,0
5e+05,2,1,1,34,-2,-2,-2,-1,-1,-1,413,138,2299,1251,1206,1151,140,2299,1251,1206,1151,15816,0
30000,2,3,2,22,1,2,2,0,0,0,29007,29256,28122,29836,1630,0,1000,85,1714,104,0,0,1
180000,2,1,1,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0,0,0,0
140000,1,1,2,31,0,0,2,0,0,2,27126,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2500,0
140000,2,1,2,26,-1,0,-1,-1,-1,-1,13415,18000,13001,5818,13506,487,10000,13001,5841,13506,487,7004,0
110000,1,2,2,26,0,0,0,0,0,0,107425,110578,113736,116000,119131,122135,5000,5000,4152,5000,5000,5000,0
360000,2,2,1,48,0,0,0,0,0,0,227346,231878,234192,190211,173557,146511,9086,7300,5800,5600,5600,4100,0
20000,1,3,1,43,-1,-1,0,0,0,0,228,20351,20237,19339,19450,19337,22313,1305,1258,1459,3457,1700,0
1e+05,1,1,1,47,-1,-1,-1,-1,-1,-1,390,1473,390,390,390,0,1473,390,390,390,0,2380,0
320000,2,1,1,50,-1,-1,-1,-1,-2,-2,8862,4337,2854,1690,0,1709,4338,2854,1702,0,1709,258,0
220000,1,1,2,24,0,0,0,-1,-1,-1,105476,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,0
2e+05,2,1,1,38,1,-2,-1,0,-1,-1,0,0,250,123,789,1222,0,250,0,789,1222,9616,1
30000,2,3,1,43,0,0,0,0,0,0,38298,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,0
30000,1,2,2,39,0,0,0,2,0,0,28358,28108,18388,12992,7736,8032,3033,2309,0,1000,2000,148,0
240000,2,2,1,36,1,-2,-2,-2,-2,-2,-904,-946,-946,-946,-946,-946,0,0,0,0,0,0,1
110000,2,3,0,31,0,0,0,0,0,0,89910,84229,79288,73315,63818,63208,4000,5000,3000,3000,3000,8954,0
3e+05,2,1,2,38,-1,-1,-1,-1,-2,-2,1421,4542,126,0,0,0,4535,126,0,0,0,0,0
360000,2,1,1,40,2,2,2,0,0,0,105347,115468,112157,114690,117845,120238,11921,0,5900,5000,4500,4700,1
320000,2,3,2,45,0,0,0,0,0,0,335938,334954,335527,333860,335760,330121,12421,12378,12116,12450,12213,11678,0
290000,2,2,2,35,0,0,0,0,0,0,293261,297268,205629,215827,208464,212508,12022,9006,17000,12000,9557,15000,0
320000,2,2,2,33,0,0,0,0,0,0,91562,94037,108597,65913,43805,33263,10047,18832,2117,2076,5045,3754,0
50000,2,3,2,37,1,3,2,0,0,0,52582,51537,49205,30394,30249,29957,0,24,1500,1000,1201,30592,1
170000,2,1,2,28,0,0,0,0,0,0,130261,131199,128900,125514,127280,128839,6540,4860,22500,4820,4877,4962,0
350000,1,3,1,44,-1,-1,-1,-1,-1,-2,3275,2686,1864,569,0,0,2680,1864,569,0,0,0,0
20000,1,2,1,37,0,0,0,0,0,0,16452,16511,18902,18768,18650,19175,1610,3000,663,676,834,782,0
50000,1,2,2,23,2,0,0,0,0,0,49775,48456,44116,21247,20066,18858,2400,2254,2004,704,707,1004,1
20000,2,3,2,24,1,2,0,0,0,0,19164,18165,17233,7630,1730,0,0,1333,500,100,0,3200,0
50000,2,1,2,24,0,0,0,0,0,0,35099,35796,30937,19420,10385,1308,2094,2002,1002,238,1011,389,0
180000,1,2,2,34,2,0,0,0,2,2,129776,131383,134379,142323,140120,150052,5000,5000,10000,0,12118,2769,1
60000,2,2,1,33,0,0,0,0,0,0,58165,36367,20934,20694,20175,19421,1506,1298,1000,721,811,599,0
80000,1,1,2,35,-1,-1,-1,-1,-1,-1,8000,3977,6848,1719,1378,19942,3978,6853,1719,1378,19942,2418,0
150000,2,2,2,27,0,0,0,0,0,0,127496,110050,51547,44384,36900,29497,4495,1745,1566,1208,1077,2529,0
2e+05,2,1,2,31,-2,-2,-2,-2,-1,-1,1435,0,7422,893,6082,2293,0,7422,893,6082,2293,3299,0
60000,2,1,2,28,1,2,2,-2,-2,-1,21489,20650,0,0,0,2285,0,0,0,0,2285,0,0
50000,2,2,2,27,0,0,0,0,0,0,26627,27724,28676,27990,28790,29399,1799,1750,900,1200,1200,1100,0
180000,2,1,2,32,-1,-1,2,2,-1,-1,3135,5853,2821,0,2821,0,2833,0,0,2821,0,176,0
30000,2,1,2,40,-1,-1,2,2,2,2,148,215,139,19,19,79,360,120,0,0,60,60,0
20000,2,2,2,40,0,0,0,0,0,-2,19813,20396,20102,19575,0,0,1602,2203,2114,0,0,0,0
240000,2,2,1,75,0,-1,-1,-1,-1,-1,52874,1631,1536,1010,5572,794,1629,1536,1010,5572,794,1184,0
1e+05,2,2,2,27,0,0,0,0,0,0,37794,34457,30036,30337,30997,32904,1785,1799,1100,1150,2423,0,0
330000,1,1,2,25,0,0,0,0,2,0,46137,45781,48139,51137,39450,25358,2505,4007,5056,74,1023,2566,0
50000,1,3,1,46,0,0,0,0,0,0,35757,15392,16099,16418,16765,17484,1562,1268,587,611,1000,2000,0
50000,2,2,2,26,1,2,2,0,0,0,50863,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,0
30000,1,2,2,28,0,0,0,0,0,0,29261,29507,29155,25255,22001,0,5005,1244,851,955,0,0,0
140000,2,2,2,26,0,0,0,0,0,0,101556,105246,104781,105334,107699,106828,5367,5087,3605,3894,3785,3304,1
160000,2,1,2,28,0,0,0,0,-1,0,70251,47779,28052,7222,99669,84426,7046,2000,1000,99669,12600,10000,0
4e+05,2,2,2,29,-1,0,-1,-1,-1,-1,19523,3719,1453,4944,1896,2486,3128,1469,4968,1905,2494,862,0
160000,2,2,1,33,-1,-1,-1,-1,0,-1,8027,2453,9624,52572,7333,2210,2451,9880,52572,1546,2210,0,0
1e+05,2,3,1,43,0,0,-2,-2,-2,-2,62244,0,0,0,0,0,0,0,0,0,0,0,0
220000,1,1,1,48,2,0,0,0,0,0,210380,213522,201852,169115,172169,162402,10000,9020,6000,5500,6000,5500,1
510000,2,1,2,29,0,0,0,0,0,0,78294,99414,107686,103776,87265,36739,40024,20094,5000,5001,25365,65000,0
50000,1,2,2,29,0,0,0,0,0,0,49279,35100,32563,27823,29130,28309,1602,1400,3000,3130,1062,6318,0
80000,2,1,2,37,-1,-1,-1,-1,-1,-1,10135,249,5986,188,1644,16872,255,5995,188,1644,16872,4000,0
10000,1,3,2,23,0,0,0,0,0,2,6981,7838,9002,9182,9729,9411,1131,1298,478,847,0,175,0
130000,2,3,2,49,0,0,0,0,0,0,89129,91362,72197,49654,28065,27500,4098,3095,1630,561,600,0,1
30000,2,1,2,48,0,0,0,0,0,0,34962,34449,33634,34586,34762,35673,1599,1600,1500,1500,1500,1500,0
50000,1,2,2,27,3,2,2,0,0,-1,13707,14880,14242,13968,14319,2614,1700,0,426,501,2614,1390,1
1e+05,1,3,2,32,0,0,0,0,0,0,70096,31545,20974,19713,19848,18126,2035,2004,616,2007,1009,2015,0
110000,1,1,1,34,-1,2,-1,0,0,0,1088,632,1350,900,450,0,0,1350,0,0,0,450,0
260000,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
2e+05,2,2,2,33,0,0,0,0,0,0,11278,12852,14024,14512,16325,11905,2000,1322,2000,2000,1200,3000,0
360000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
70000,2,2,2,36,0,0,0,0,0,0,68725,69120,68376,30163,14310,15085,4462,12496,3268,3000,3000,2000,0
450000,1,1,1,40,2,-1,-1,-1,-1,-1,170,2715,-13,2641,-10,22535,2721,0,2654,0,22545,0,1
50000,2,1,2,26,-1,-1,-1,-1,-1,-1,1148,316,316,316,316,316,312,316,316,316,316,316,0
50000,1,3,1,33,0,0,0,0,0,0,50863,50462,50654,20046,20067,19703,2007,2199,691,707,703,697,0
260000,1,2,1,44,0,0,0,0,-1,-1,127496,109189,92630,69669,44149,43414,10063,5162,10150,44299,43509,31031,0
180000,2,3,2,30,0,0,0,0,0,0,164137,153152,147032,122196,103692,70204,7700,6091,3563,3605,3000,3211,0
1e+05,2,1,2,28,0,0,0,0,0,0,53576,52656,52600,52336,55831,56265,4171,3000,2025,5000,3000,3000,0
