"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default_payment_next_month"
61,220000,2,3,1,28,0,0,0,0,0,0,124108,23638,18878,14937,13827,15571,5200,1300,1000,1000,2000,2000,1
62,80000,1,2,1,39,0,0,0,0,0,-1,18086,72060,69938,16518,14096,830,2600,2095,1000,2000,3000,0,0
63,80000,1,1,2,29,2,2,2,2,2,2,11058,24300,26591,25865,27667,28264,1400,2700,0,2225,1200,0,1
64,50000,2,2,1,46,0,0,0,-2,-2,-2,25588,29166,0,0,0,0,2000,0,0,0,0,0,1
65,60000,2,2,1,51,-1,-1,-2,-2,-1,-1,15695,0,0,0,2353,0,1200,0,0,2353,0,0,0
66,310000,1,1,1,57,-2,-2,-2,-1,2,2,68090,148751,144076,8174,8198,7918,4390,0,8222,300,0,1000,1
67,50000,1,2,1,56,2,2,2,0,0,0,14421,4193,3978,4062,4196,4326,1142,0,150,200,200,160,1
68,2e+05,2,1,2,30,2,-1,-1,-1,-1,-1,1640,300,1159,2280,300,4250,2500,1159,2280,300,4250,909,0
69,50000,2,3,2,29,1,-2,-2,-1,2,-1,10459,-9850,-9850,10311,10161,7319,1200,0,20161,0,7319,13899,0
70,20000,1,5,2,22,2,0,0,0,0,0,6733,17204,17285,18085,11205,5982,1149,1200,1000,500,1000,0,0
71,70000,1,1,2,31,-1,-1,-1,-1,-1,-1,47843,0,390,390,390,390,2000,390,390,390,390,390,0
72,310000,1,2,2,29,2,2,2,2,2,2,16729,59246,60184,58622,62307,63526,3941,2500,0,4800,2400,1600,1
73,160000,2,2,1,32,-1,-1,-1,-1,2,-1,9097,5787,-684,5247,3848,3151,2003,15,9102,17,3165,1395,0
74,230000,2,1,2,37,1,-2,-1,-1,-1,-1,26587,0,3155,0,2359,0,0,3155,0,2359,0,0,0
75,320000,1,1,2,32,-1,-1,-1,-1,-1,-1,16457,5550,23337,4291,80153,25820,4296,23453,4314,80552,25949,2016,0
76,30000,1,2,2,24,0,0,2,0,0,0,6933,17216,16642,16976,17332,18543,2244,0,610,630,1500,0,0
77,20000,1,3,2,25,-1,0,0,0,0,0,11553,37225,36087,9636,9590,10030,1300,1779,320,500,1000,1000,0
78,240000,2,1,1,45,-1,-1,-1,-1,-1,-1,15336,291,291,291,291,291,1678,291,291,291,291,291,0
79,50000,2,2,2,22,0,0,0,0,0,0,28404,29612,30326,28004,26446,6411,1500,1400,560,3000,1765,0,1
80,230000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
81,260000,2,3,3,33,0,0,0,0,0,0,212681,157784,162702,69923,29271,29889,8738,7566,3000,960,1000,3000,0
82,360000,2,1,2,26,0,0,0,0,0,-1,20636,27796,30400,33100,180000,196,4044,3400,3100,146900,196,2963,0
83,50000,1,3,2,30,0,0,0,0,0,0,14815,27471,28108,21993,19899,19771,1000,1213,648,768,1140,0,1
84,250000,2,2,1,44,0,0,2,0,0,0,191262,139060,126819,104430,104990,94058,10000,3,3050,3000,3200,2800,0
85,50000,2,3,2,49,0,0,0,0,0,0,780,47863,21489,20414,19342,19482,906,1302,700,699,849,826,0
86,260000,1,2,2,33,0,0,0,0,0,0,5916,107808,71934,118418,118407,120418,2627,3547,80000,4500,4800,4500,0
87,340000,2,1,1,45,-1,-1,2,0,-1,-1,5433,1170,780,390,390,390,2916,0,0,390,390,390,1
88,80000,2,2,2,32,0,0,0,0,0,-1,26168,4751,6604,8604,7072,766,1200,2000,2000,0,766,2303,0
89,330000,2,1,1,35,0,0,0,-1,-1,-1,81382,117866,17740,1330,7095,1190,6100,5000,1330,7095,1190,2090,0
90,20000,1,3,2,44,2,2,0,0,0,2,3588,8303,9651,10488,12314,11970,1003,1651,1000,2000,0,1500,0
91,320000,1,1,1,53,2,2,2,2,2,2,43379,140774,142460,144098,147124,149531,5011,5500,5500,5500,5000,5000,1
92,2e+05,2,1,2,39,-1,-1,-1,0,0,-2,29091,0,3968,3868,0,0,5018,3968,0,0,0,0,0
93,110000,2,1,2,27,-2,-2,-2,-2,-2,-2,30218,5555,0,0,0,0,2500,0,0,0,0,0,0
94,70000,2,2,1,37,-1,-1,-1,-1,-1,-2,36329,1602,840,840,0,0,1601,840,840,0,0,7736,0
95,50000,2,2,2,23,0,0,0,0,0,0,44739,46850,47214,19595,19209,19323,1832,1301,682,690,816,835,0
96,140000,1,2,2,35,0,0,0,0,0,0,3892,85996,87653,35565,30942,30835,1509,3597,1179,1112,1104,1143,0
97,2e+05,1,1,1,43,-1,-1,-1,-1,-1,0,126027,8322,3394,6451,26370,9956,6222,3394,12902,27000,0,68978,0
98,2e+05,1,1,2,27,0,0,0,0,0,0,81382,86108,89006,89775,87725,40788,3853,10006,3266,4040,1698,800,0
99,50000,2,3,1,22,0,0,0,0,0,0,18255,18160,16997,13150,8866,7899,1565,1194,379,281,321,197,0
100,20000,1,2,1,38,0,0,0,0,0,-1,17962,19367,19559,18240,17928,150,1500,1460,626,1750,150,0,1
101,2e+05,1,1,2,32,-2,-2,-2,-2,-2,-2,1354,10212,850,415,100,1430,416,850,415,100,1430,0,0
102,310000,2,1,2,30,-2,-2,-1,0,0,0,45107,-303,32475,32891,33564,34056,2800,33178,1171,1197,1250,5000,0
103,480000,1,1,1,63,0,0,0,2,2,0,435924,431342,479432,487066,471145,469961,17686,55693,17000,0,18000,24200,0
104,30000,2,3,2,22,0,0,0,0,0,0,18293,42254,38347,32496,23477,24094,1207,1362,1002,840,995,904,1
105,80000,2,2,2,26,2,2,2,2,2,0,2615,55208,59175,60218,55447,55305,1509,5000,2511,6,3000,3000,0
106,50000,2,2,2,24,-1,-1,-2,-2,-2,-1,19868,0,0,0,0,26529,1219,0,0,0,26529,2000,0
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6480,2861,3277,3319,1150,1150,1446,3279,3319,1150,1150,1035,0
108,3e+05,1,1,2,52,-1,-1,-1,-1,-1,-1,30147,2272,722,867,1150,5263,5820,722,867,1150,5263,5011,0
109,360000,1,2,2,38,0,0,0,-1,-1,-1,415,178382,39940,120483,44127,126568,3000,0,133657,4566,133841,4796,0
110,250000,1,2,1,35,1,-2,-2,-2,-2,-2,3824,-103,-103,-103,-103,-103,1032,0,0,0,0,0,0
111,350000,2,1,1,31,0,0,2,0,0,0,105911,108431,105594,105896,106491,107289,7255,0,3593,4100,15794,0,0
112,30000,1,3,1,47,0,0,2,0,0,0,27232,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0
113,280000,1,2,1,41,2,2,2,2,2,3,87240,138532,134813,144401,152174,149415,6491,0,14254,14850,0,5000,0
114,170000,2,1,2,24,0,0,0,0,0,0,27324,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
115,60000,1,2,2,41,0,0,0,0,0,0,11967,19294,20259,20274,20311,19957,396,1305,700,718,724,684,0
116,50000,1,1,2,24,-1,2,0,0,3,2,46094,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1
117,220000,1,1,2,28,-1,-1,-1,-1,-1,-1,8086,326,326,5676,476,326,2000,326,5676,476,326,526,0
118,50000,1,2,2,26,2,0,0,0,0,0,35187,15493,16630,17055,17629,18186,1607,1700,1000,1000,1000,1000,1
119,290000,1,2,1,34,-1,-1,-1,-1,-1,-1,101329,9666,11867,7839,14837,7959,6000,11867,7839,14837,7959,5712,0
120,2e+05,2,2,2,38,0,0,0,0,-1,-1,4603,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
121,20000,1,3,2,37,2,2,2,3,2,2,11553,45976,48953,48851,49318,51143,1300,4035,1000,1400,2800,0,1
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,330000,2,2,1,35,2,0,0,0,0,0,199251,311243,306314,258610,246491,198889,11000,11128,8407,8599,6833,5987,1
125,50000,1,1,2,27,0,0,0,0,0,0,18761,18962,19298,19378,19717,15630,2000,1130,600,861,313,0,0
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2e+05,1,3,2,52,0,0,0,0,0,0,4940,99530,98951,100914,103146,104993,1900,3585,3602,3848,3669,3784,0
128,260000,1,1,1,36,0,0,0,0,0,0,107314,116422,99278,95766,97753,95927,7000,2690,2067,2142,2217,1000,1
129,30000,1,2,1,51,0,0,0,0,0,0,15294,3899,4503,5347,6375,7077,1500,1066,1300,1500,1200,134,1
130,30000,1,3,1,55,3,2,2,0,0,0,28658,61450,57244,28853,29510,26547,2000,7,1200,1200,1100,1500,0
131,50000,2,1,2,23,1,-2,-2,-2,-1,-1,10000,5645,3508,-27,13744,5906,3353,3508,27,13771,5911,3024,0
132,150000,1,1,2,41,1,-1,-1,0,0,-1,64489,2622,3301,3164,360,1737,4107,3301,0,360,1737,924,0
133,380000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,11028,9553,7603,7830,7253,11326,0
134,250000,1,3,1,46,0,0,0,0,0,0,200239,228719,229644,227587,227775,228203,5692,8095,8025,8175,8391,8200,0
135,50000,2,2,2,22,0,0,0,0,0,0,15908,26145,26712,25350,17603,-780,1097,1400,0,500,0,1560,0
136,150000,1,2,1,34,0,0,0,2,2,2,33107,12035,13681,13269,14158,13891,3500,1800,0,1000,0,327,0
137,130000,1,1,2,27,0,0,0,0,0,0,17453,19342,22000,24614,27200,30229,3000,3000,3000,3000,3500,5000,0
138,130000,2,2,1,33,0,0,0,0,0,0,9815,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,2020,300,5880,0,0,0,483,5880,0,0,0,0,1
140,2e+05,1,1,2,24,0,0,0,0,0,0,4810,50143,49586,19430,19375,18995,2252,1700,1000,900,870,2130,0
141,230000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
142,80000,1,2,2,28,-1,-1,-1,-1,-1,-1,21576,0,832,332,416,416,3000,416,332,500,3500,832,0
143,50000,1,2,2,23,1,2,2,2,0,0,28404,10833,20583,19996,19879,18065,1500,10000,400,700,800,600,0
144,150000,1,2,2,29,-2,-2,-2,-2,-2,-2,20873,10000,10000,10000,9983,15846,2074,10000,10000,9983,15863,10000,0
145,80000,1,1,2,29,-1,-1,-1,-1,0,-1,18086,15586,344,2340,6702,339,2600,344,2340,4702,339,330,0
146,80000,1,1,2,28,0,0,0,0,0,3,14870,5913,7315,9195,10624,10138,1631,1500,2000,1583,1100,0,0
147,120000,2,2,2,27,0,0,0,0,0,0,34983,20313,20852,17560,17918,9100,2000,1200,351,358,182,0,1
148,340000,1,1,2,34,1,2,0,0,0,0,68288,176192,93069,135668,132233,59875,7868,5000,55500,5000,5000,8500,0
149,50000,2,2,1,23,1,2,3,2,0,0,9487,10522,10205,9898,10123,12034,1647,0,0,379,2091,1,0
150,250000,2,1,1,60,1,-2,-1,-1,-1,-1,29772,-1100,21400,0,969,869,2025,22500,0,969,1000,0,0
151,150000,1,2,1,32,0,0,0,0,2,0,48885,78142,68336,64648,58319,55251,3688,3110,5000,0,2100,2602,0
152,2e+05,1,1,2,25,0,0,0,0,0,0,74919,55744,43476,41087,41951,31826,5700,3000,6000,8000,2000,14000,0
153,250000,1,1,2,41,1,-1,-1,-1,-1,-2,63348,2906,1000,630,0,0,5000,1000,630,0,0,0,0
154,320000,2,2,1,56,0,0,0,0,0,0,20708,182350,132257,101783,177145,169311,8037,6700,5137,100000,7000,6321,0
155,50000,2,3,2,26,0,0,0,0,0,0,2020,10406,11427,11935,13084,14206,483,1500,1000,1500,1500,1500,0
156,360000,1,1,1,34,0,0,0,0,0,0,0,28049,32073,43129,47086,48699,0,5000,11885,5000,3000,5504,0
157,350000,2,1,2,37,0,0,0,0,0,0,55237,102870,89643,90938,92505,94031,5388,3250,3250,3500,3560,5000,0
158,320000,2,3,2,30,0,0,0,0,0,0,39105,196143,189524,167163,146975,122324,1867,7108,7680,6200,5000,4500,0
159,2e+05,1,3,1,45,2,3,4,4,5,6,67864,122904,129847,137277,145533,154105,4000,10478,11078,11078,11678,10478,1
160,30000,1,3,1,57,3,2,0,0,0,0,13500,12362,13447,13427,13711,14083,1500,1600,500,500,600,600,0
161,90000,1,1,2,41,2,2,2,2,2,0,30400,27453,26718,28168,27579,28321,2000,0,2200,0,1200,1250,0
162,50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0
163,80000,1,3,1,47,-1,-1,-1,-1,0,-1,45341,396,396,792,396,423,2600,396,792,0,423,369,0
164,280000,2,1,1,34,0,0,2,0,0,0,74766,156858,151841,152803,155997,160220,8797,0,5469,5656,6811,3920,0
165,30000,2,2,1,46,0,0,0,0,0,0,1825,23803,24908,26034,26655,27756,1200,1500,1500,1000,1500,1500,0
166,170000,2,1,2,27,0,0,0,0,0,0,106989,104795,104855,74737,76058,77254,4117,3900,3000,2900,3000,2800,0
167,270000,1,1,2,50,-2,-2,-2,-2,-2,-2,109424,15130,8204,15398,4792,13453,8000,8204,15413,4792,13453,4699,0
168,170000,1,2,1,27,-1,2,2,0,0,0,27324,96847,58824,29336,22979,-246,2000,0,1330,1398,12,50000,0
169,80000,2,2,1,35,0,0,0,0,0,2,49083,73854,75526,77317,85852,88290,2500,3500,3652,10000,4000,0,0
170,50000,2,2,2,22,0,0,0,0,0,0,27720,29092,29366,27737,28318,28806,1565,1442,982,1017,1277,567,0
171,220000,1,2,2,37,0,0,0,0,0,0,15735,33397,30534,27598,26344,24641,3075,2000,3000,4000,3000,2000,0
172,270000,2,1,2,30,-1,-1,-1,-1,-1,-1,5000,3280,0,4340,2672,800,4500,0,4340,2672,800,746,0
173,60000,2,2,2,22,-1,0,0,0,0,0,25700,15273,11650,7457,3115,7725,2207,1000,149,0,5000,10000,0
174,50000,2,1,2,24,1,-2,-2,-2,-2,-2,38746,-709,-709,-2898,-3272,-3272,1500,0,0,0,0,0,1
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0
176,80000,1,3,1,56,1,2,2,2,2,3,20708,65978,67282,68557,72796,71345,2000,3000,3000,5500,0,0,1
177,120000,1,1,2,30,-2,-1,0,0,0,0,14088,100,600,1438,1919,5380,2000,500,1000,500,3500,0,0
178,50000,1,2,2,30,1,2,0,0,0,2,24510,47801,48363,30221,22877,22361,1650,1500,1000,2000,0,2000,0
179,50000,2,2,2,22,0,0,0,0,0,0,1472,12622,13221,13130,14034,14906,0,1201,500,1500,1500,1000,0
180,150000,2,2,1,29,0,0,2,0,0,0,13122,81811,80250,61467,10662,11486,1138,1000,600,400,1000,0,0
181,180000,1,1,2,37,-1,-1,2,0,0,-1,67253,26578,25331,26605,26279,1256,6000,0,2000,0,1256,65935,0
182,50000,2,3,2,35,0,-1,0,0,0,0,18037,12412,14873,17364,17770,17460,2500,6500,3000,2000,3000,2000,0
183,430000,2,1,1,47,0,0,0,0,0,0,352016,110616,110340,122967,108834,70064,14347,30357,30000,20000,52183,20000,0
184,70000,2,2,1,24,0,0,0,0,0,0,26697,57891,48839,18971,19323,19395,1848,1600,3000,1000,737,2000,1
185,20000,1,2,2,25,0,0,0,0,0,-1,15695,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0
186,70000,2,2,1,38,1,2,0,0,2,0,42214,13961,15323,16268,15868,16448,1100,1600,1500,0,1000,1500,1
187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,227634,57077,5287,68445,13881,16240,10541,5295,68454,13889,16250,38313,0
188,310000,2,3,2,47,2,2,2,2,2,2,86009,202947,193936,196186,200162,189915,4000,7000,6800,7134,0,6836,1
189,120000,2,2,1,34,1,-1,0,0,0,0,2020,5396,10270,13576,13864,14636,1500,5000,3500,501,1000,2000,0
190,30000,2,2,2,31,1,5,4,4,3,2,21697,21087,21461,20835,20219,20487,0,1000,0,0,760,0,0
191,230000,1,1,2,32,0,0,0,0,0,0,59891,62147,62102,65875,60387,43328,7080,6031,10057,5028,5060,4223,0
192,110000,2,1,2,27,2,0,0,0,2,0,11058,20347,21669,23005,22499,22873,2000,1664,2000,0,900,846,1
193,180000,2,1,2,29,-1,-1,-1,-2,-1,0,14702,199,0,0,17227,17042,3000,0,0,17227,341,5114,0
194,270000,2,1,2,24,-1,-1,2,0,0,-2,78374,22087,21282,10200,0,0,5038,0,200,0,0,0,0
195,60000,1,2,1,36,0,0,0,0,-1,-1,47381,18114,18250,-14,72,658,2105,1000,2000,500,1000,20011,0
196,110000,2,1,2,24,1,2,2,2,2,2,36201,37188,37680,38462,39228,40035,1152,1400,1700,1532,1600,0,1
197,1e+05,2,2,1,34,-2,-2,-2,-2,-2,-2,6905,0,0,116,0,1500,1432,0,116,0,1500,0,0
198,50000,2,1,2,22,0,0,0,0,-1,0,39236,19446,19065,8332,18868,19247,1931,1032,541,20000,693,1000,0
199,5e+05,2,1,1,34,-2,-2,-2,-1,-1,-1,686,138,2299,1251,1206,1151,4988,2299,1251,1206,1151,15816,0
200,50000,2,3,2,22,1,2,2,0,0,0,18551,29256,28122,29836,1630,0,1440,85,1714,104,0,0,1
201,180000,2,1,1,38,-2,-2,-2,-2,-2,-2,26330,0,0,0,0,0,2500,0,0,0,0,0,0
202,210000,1,1,2,31,0,0,2,0,0,2,39236,27299,17985,20225,27407,10833,7700,0,3000,7800,0,2500,0
203,2e+05,2,1,2,26,-1,0,-1,-1,-1,-1,13122,18000,13001,5818,13506,487,4000,13001,5841,13506,487,7004,0
204,180000,1,2,2,26,0,0,0,0,0,0,9815,110578,113736,116000,119131,122135,3000,5000,4152,5000,5000,5000,0
205,360000,2,2,1,48,0,0,0,0,0,0,212681,231878,234192,190211,173557,146511,10001,7300,5800,5600,5600,4100,0
206,30000,1,3,1,43,-1,-1,0,0,0,0,26551,20351,20237,19339,19450,19337,2000,1305,1258,1459,3457,1700,0
207,90000,1,1,1,47,-1,-1,-1,-1,-1,-1,35238,1473,390,390,390,0,2600,390,390,390,0,2380,0
208,2e+05,2,2,1,41,-1,-1,-1,-1,-1,-1,4810,1586,343,3763,877,0,2252,343,3763,877,0,419,1
209,90000,2,2,2,24,0,0,0,0,0,0,43607,81554,79599,49552,49509,49568,2500,3000,2038,2000,1800,1800,1
210,310000,2,1,1,50,-1,-1,-1,-1,-2,-2,15336,4337,2854,1690,0,1709,5000,2854,1702,0,1709,258,0
211,210000,1,1,2,24,0,0,0,-1,-1,-1,112936,108917,111520,8303,0,85632,5030,5050,8303,0,85632,0,0
212,2e+05,2,1,1,38,1,-2,-1,0,-1,-1,0,0,250,123,789,1222,0,250,0,789,1222,9616,1
213,20000,2,3,1,43,0,0,0,0,0,0,6170,38901,38103,36207,33138,31339,1124,1504,1200,1500,1500,1000,0
214,50000,1,2,2,39,0,0,0,2,0,0,27110,28108,18388,12992,7736,8032,1600,2309,0,1000,2000,148,0
215,430000,1,2,2,27,2,2,2,2,0,0,276436,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,2180,390,390,240,1320,780,388,390,240,1470,0,0,0
217,160000,2,2,1,36,1,-2,-2,-2,-2,-2,6631,-946,-946,-946,-946,-946,2640,0,0,0,0,0,1
218,70000,1,2,2,36,2,0,0,0,0,0,47843,78501,78534,80016,76235,78245,2000,3500,3400,3000,3500,3000,0
219,90000,2,3,0,31,0,0,0,0,0,0,8415,84229,79288,73315,63818,63208,2180,5000,3000,3000,3000,8954,0
